"año","mes","fecha","encuesta","detalle de encuesta","grupo","variable","porcentaje","porcentaje ic inferior","porcentaje ic superior"
"1994","12","1994-12-15","29","Nov-Dic '94","total","Corrupción","0.13223713917174","0.11321876628476","0.15125551205872"
"1994","12","1994-12-15","29","Nov-Dic '94","total","Delincuencia, asaltos y robos","0.40160162283189","0.37281905724404","0.43038418841974"
"1994","12","1994-12-15","29","Nov-Dic '94","total","Pobreza","0.50455672848608","0.47809011484457","0.53102334212758"
"1994","12","1994-12-15","29","Nov-Dic '94","total","Sueldos","0.25994841941737","0.23815102127445","0.28174581756029"
"1994","12","1994-12-15","29","Nov-Dic '94","total","Inmigración","0.002020255501727","-0.00030864615986447","0.0043491571633185"
"1994","12","1994-12-15","29","Nov-Dic '94","total","Reformas constitucionales","0.0057746144040941","0.0019612881211284","0.0095879406870598"
"1994","12","1994-12-15","29","Nov-Dic '94","total","Alzas de precios, inflación","0.19125578444162","0.16998652793597","0.21252504094726"
"1994","12","1994-12-15","29","Nov-Dic '94","total","Protestas y desórdenes callejeros","0.024922660974283","0.0174025263618","0.032442795586765"
"1995","6","1995-06-15","30","May-Jun '95†","total","Corrupción","0.12072959835976","0.10271442087229","0.13874477584722"
"1995","6","1995-06-15","30","May-Jun '95†","total","Delincuencia, asaltos y robos","0.42017181939443","0.39287497518094","0.44746866360791"
"1995","6","1995-06-15","30","May-Jun '95†","total","Pobreza","0.49847298410748","0.47106342103695","0.52588254717802"
"1995","6","1995-06-15","30","May-Jun '95†","total","Sueldos","0.24487463978633","0.21971203404233","0.27003724553033"
"1995","6","1995-06-15","30","May-Jun '95†","total","Inmigración","0.0017580210416948","-0.00024947493083702","0.0037655170142267"
"1995","6","1995-06-15","30","May-Jun '95†","total","Reformas constitucionales","0.0023558267056856","4.5757217522433E-5","0.0046658961938488"
"1995","6","1995-06-15","30","May-Jun '95†","total","Alzas de precios, inflación","0.19033899473372","0.16802989147811","0.21264809798933"
"1995","11","1995-11-15","31","Nov '95†","total","Corrupción","0.090885156750202","0.075994821801332","0.10577549169907"
"1995","11","1995-11-15","31","Nov '95†","total","Delincuencia, asaltos y robos","0.34979093962828","0.31992753829096","0.37965434096561"
"1995","11","1995-11-15","31","Nov '95†","total","Pobreza","0.47836963848454","0.45178576075895","0.50495351621013"
"1995","11","1995-11-15","31","Nov '95†","total","Sueldos","0.27315234750216","0.24723428163061","0.29907041337372"
"1995","11","1995-11-15","31","Nov '95†","total","Inmigración","0.0016015442316896","-0.00020266093629351","0.0034057493996727"
